epoch,lr,train_loss,train_acc,val_loss,val_acc,epoch_seconds
1,0.001,4.167388973617554,0.07357777778572507,3.777900084686279,0.1426,8.95209264755249
2,0.0009999037166207915,3.695941904364692,0.1660222222328186,3.4051390716552734,0.2242,5.772647142410278
3,0.0009996149036022412,3.3840778409745957,0.2349999999920527,3.0728690841674804,0.3014,5.7069618701934814
4,0.0009991336722872657,3.165900562455919,0.2853333333280351,3.033970705795288,0.3276,5.8370983600616455
5,0.0009984602081996976,2.9758705935584175,0.33386666666666664,2.801169013595581,0.384,5.8463428020477295
6,0.0009975947709727625,2.834800795703464,0.37573333332273695,2.734814511871338,0.4194,6.63185977935791
7,0.0009965376942489858,2.7194553457895916,0.40453333335452607,2.694924114227295,0.4268,7.195844411849976
8,0.0009952893855515667,2.612239311811659,0.4336888888835907,2.4410299438476564,0.4914,5.859154939651489
9,0.0009938503261272711,2.503516931830512,0.4671777777989705,2.5148832473754883,0.4708,5.7451252937316895
10,0.0009922210707609008,2.421867395570543,0.49008888891537983,2.3415395488739015,0.5162,5.732402086257935
11,0.0009904022475614135,2.3505674389309354,0.5100444444550408,2.2668814533233643,0.5406,5.824516773223877
12,0.0009883945577197756,2.2804239009433322,0.534222222243415,2.2036536533355715,0.553,7.833885431289673
13,0.0009861987752386393,2.2274757826063367,0.5472888888782925,2.127030924606323,0.5794,5.71002197265625
14,0.0009838157466339496,2.1697441718207466,0.5650666666878594,2.142684310531616,0.5726,5.4836952686309814
15,0.0009812463906085965,2.1230324647691514,0.5783111111429002,2.097903539657593,0.5916,5.49785590171814
16,0.0009784916976982381,2.082415092171563,0.5914000000317892,2.11483342590332,0.586,5.569355249404907
17,0.0009755527298894291,2.0391946251763238,0.6034666666666667,2.0748771423339845,0.6004,6.472628116607666
18,0.0009724306202102056,2.0021472675323486,0.615355555566152,2.0338874877929687,0.609,5.532134294509888
19,0.0009691265722932809,1.9690418949339126,0.6265333333121406,2.03525082321167,0.609,5.545572757720947
20,0.0009656418599120223,1.9401739891052245,0.6367777777565851,2.0012673347473147,0.6172,7.90973162651062
21,0.0009619778264893876,1.9121727597130669,0.6419777778201633,1.9808726999282837,0.6234,5.535988092422485
22,0.0009581358845800093,1.8787203328450521,0.6541777777989706,1.952294546318054,0.6364,6.642461776733398
23,0.0009541175153256281,1.8471228021621704,0.6662222222116259,1.9517778942108155,0.6284,5.520847797393799
24,0.0009499242678840846,1.8155862865871852,0.6774222222328186,1.9179459724426269,0.6476,5.635479927062988
25,0.0009455577588320897,1.79958711037106,0.6786888889312744,1.9401039978027343,0.637,5.5308709144592285
26,0.0009410196715420033,1.7802535669114854,0.6866444444656372,1.918804207420349,0.6482,5.589082717895508
27,0.0009363117555328622,1.7638213721381293,0.6948222221904331,1.9439772315979005,0.64,5.562372207641602
28,0.000931435825795907,1.7316560564676922,0.7029111110793219,1.9217686210632323,0.6454,7.6435387134552
29,0.0009263937620948691,1.717581033706665,0.7066222222116259,1.9476543148040772,0.6428,5.527058124542236
30,0.0009211875082412852,1.6971898395962186,0.7151777778201633,1.8947195762634277,0.6564,5.472548007965088
31,0.0009158190713451214,1.6850990035163032,0.7179999999682108,1.9148311004638672,0.6516,5.4564268589019775
32,0.0009102905210409941,1.6653199367099338,0.7237777778201633,1.9019059677124024,0.6588,5.616962671279907
33,0.0009046039886902864,1.6595872534010145,0.7283777777883742,1.9008743118286133,0.6562,7.740912437438965
34,0.0008987616665594673,1.6330981594085694,0.7352,1.8935277809143067,0.66,5.795608758926392
35,0.0008927658069749322,1.6196819778866238,0.7392666666454739,1.8927459354400635,0.6588,5.550294399261475
36,0.0008866187214546872,1.603240864308675,0.7474666666666666,1.8831203910827636,0.6618,5.685519218444824
37,0.0008803227798172156,1.5918906953811645,0.7487999999682109,1.9381554737091065,0.6458,5.687762498855591
38,0.0008738804092678672,1.5652123481750488,0.7592444444762336,1.89823155670166,0.6608,7.660778522491455
39,0.0008672940934631249,1.5572418091244167,0.7606666666666667,1.8885085716247558,0.6616,5.625123023986816
40,0.0008605663715531079,1.5546719803704157,0.7610888889100816,1.874229987335205,0.6648,5.590653419494629
41,0.0008536998372026805,1.5362896417405871,0.7709555556085375,1.887918854522705,0.6626,5.503166437149048
42,0.0008466971375915452,1.5250519190894234,0.7735111111111111,1.913227823638916,0.6522,5.5640785694122314
43,0.0008395609723937046,1.5133050459543864,0.7744444444974263,1.8567418758392333,0.667,5.5410027503967285
44,0.0008322940927366853,1.504441647084554,0.7807777777989705,1.9045100284576415,0.6536,7.565615177154541
45,0.0008248993001409269,1.4845185214360554,0.787711111164093,1.9064822288513184,0.6606,5.620357036590576
46,0.000817379445439741,1.4744989407221476,0.7888888888676961,1.8686773517608644,0.6692,5.589406490325928
47,0.0008097374276802621,1.4613251441107855,0.796155555597941,1.9687800163269042,0.6388,5.500485420227051
48,0.0008019761930058089,1.4604964555952284,0.7923777777671814,1.8496582138061524,0.682,5.5084898471832275
49,0.0007940987335200904,1.4475324952655368,0.7999111111217075,1.8598016742706298,0.669,7.608580589294434
50,0.0007861080861336924,1.445811071650187,0.801,1.8522634063720702,0.6796,5.544080495834351
51,0.0007780073313932913,1.4222086784362793,0.8083777778307597,1.8873888984680176,0.6668,5.5527663230896
52,0.0007697995922940448,1.4216315531836616,0.8114444444338481,1.886807897567749,0.67,5.571390151977539
53,0.0007614880330756165,1.4103722785313924,0.8126222222222222,1.8460558876037598,0.6802,5.657233238220215
54,0.0007530758580023034,1.3981093631744386,0.8168888889312744,1.8509635738372803,0.681,6.510278940200806
55,0.0007445663101277292,1.3862729640324911,0.8224888888570997,1.8806999755859375,0.6706,6.823544263839722
56,0.0007359626700445858,1.3806098674138387,0.8236888888676961,1.878173536300659,0.6738,5.518495798110962
57,0.0007272682546199037,1.379040582593282,0.8254666667090522,1.8345256076812744,0.6868,5.476478338241577
58,0.0007184864157163346,1.3595649020724827,0.8342666666984558,1.8580380279541016,0.6786,5.547050714492798
59,0.0007096205388999455,1.3596483926561143,0.8291777777459887,1.8834396522521972,0.6732,5.563411235809326
60,0.0007006740421350191,1.3500512492709689,0.8352666666348775,1.8405027423858642,0.6842,7.626637697219849
61,0.0006916503744663625,1.3374331742604573,0.8399111110793219,1.8608665996551514,0.679,5.553098201751709
62,0.0006825530146896353,1.3396918028937446,0.8407111110899184,1.8467750148773194,0.6754,5.561902761459351
63,0.0006733854700102078,1.3221541965060764,0.8455777777459886,1.8788816440582274,0.6758,5.846277713775635
64,0.0006641512746910659,1.3178199605729846,0.8491777777671814,1.8399928077697754,0.6844,5.591558456420898
65,0.0006548539886902863,1.3047952478620741,0.8526222222010295,1.8605477592468262,0.6818,7.557095766067505
66,0.000645497196288604,1.3111831754684449,0.8516666666878594,1.861142714691162,0.6824,5.616642475128174
67,0.0006360845047076046,1.2959062386406792,0.8552222222222222,1.8517294425964355,0.6836,5.587099075317383
68,0.0006266195427190715,1.2879704833348593,0.8578666666560703,1.845613254547119,0.6798,5.544410943984985
69,0.0006171059592460248,1.2810988920847575,0.8610888888570998,1.8465287368774415,0.6856,5.5758750438690186
70,0.0006075474219559928,1.2776945020887587,0.8626666666560703,1.8478739212036133,0.6832,5.535418510437012
71,0.000597947615847056,1.267970517985026,0.8653333333015442,1.8356919012069701,0.6914,7.707770109176636
72,0.0005883102418272099,1.2628266891479492,0.8675777778201633,1.853577163696289,0.681,5.610532283782959
73,0.0005786390152875953,1.2557954377492269,0.868977777809567,1.8370200088500976,0.6914,5.493245363235474
74,0.0005689376646701431,1.2452366478814019,0.8732000000317891,1.8375537521362304,0.6784,5.512867212295532
75,0.0005592099300301899,1.2418751334720188,0.8757111111323038,1.846934687423706,0.6844,5.529370069503784
76,0.0005494595615946156,1.2334870582580566,0.8800888888570998,1.84911135597229,0.685,7.612769365310669
77,0.0005396903183160585,1.2300324963039821,0.8801777777671814,1.8395738929748535,0.6842,5.641337156295776
78,0.0005299059664237688,1.2175228077570597,0.8848888889418708,1.8562270942687988,0.6828,5.496655702590942
79,0.0005201102779716548,1.2123621132744684,0.8867111111111111,1.8255957023620606,0.6886,5.438516855239868
80,0.0005103070293840837,1.2036787818484835,0.8891111111534966,1.8388258514404296,0.6826,5.632516384124756
81,0.0005004999999999999,1.2011857646518282,0.8914444444338481,1.8402383449554442,0.6846,7.5667877197265625
82,0.0004906929706159161,1.19862160703871,0.8911777777671814,1.8283205410003662,0.6864,5.647968769073486
83,0.00048088972202834523,1.1925290232340495,0.8956444444762336,1.8270443901062012,0.6946,5.626687049865723
84,0.0004710940335762309,1.1843585398144192,0.896177777756585,1.831763441848755,0.6842,5.408252954483032
85,0.0004613096816839414,1.1792980522579617,0.8981777777671814,1.8281930717468262,0.6946,5.479594945907593
86,0.0004515404384053843,1.1735838752746581,0.9006888888994853,1.8363235023498534,0.6886,5.549318790435791
87,0.00044179006996981007,1.1659000634935166,0.9036222221904331,1.8292044399261476,0.688,7.666092395782471
